EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3483509,Snow,Light,2019-01-01 04:20:36,2019-01-01 06:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483510,Snow,Light,2019-01-03 16:20:36,2019-01-03 23:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483511,Snow,Light,2019-01-04 09:02:36,2019-01-04 10:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483512,Snow,Light,2019-01-04 11:20:36,2019-01-04 19:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483513,Rain,Light,2019-01-08 01:20:36,2019-01-08 07:38:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483514,Rain,Light,2019-01-08 08:20:36,2019-01-08 11:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483515,Fog,Severe,2019-01-08 11:41:36,2019-01-08 12:10:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483516,Rain,Light,2019-01-08 12:10:36,2019-01-08 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483517,Fog,Severe,2019-01-08 12:20:36,2019-01-08 12:33:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483518,Rain,Light,2019-01-08 12:33:36,2019-01-08 14:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483519,Rain,Light,2019-01-08 14:47:36,2019-01-08 17:10:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483520,Rain,Moderate,2019-01-08 17:10:36,2019-01-08 18:12:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483521,Rain,Light,2019-01-08 18:12:36,2019-01-08 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483522,Fog,Severe,2019-01-08 21:53:36,2019-01-08 22:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483523,Rain,Light,2019-01-08 22:20:36,2019-01-08 23:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483524,Fog,Severe,2019-01-08 23:20:36,2019-01-09 06:33:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483525,Fog,Severe,2019-01-09 07:20:36,2019-01-09 08:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483526,Rain,Light,2019-01-09 08:20:36,2019-01-09 09:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483527,Rain,Light,2019-01-09 12:20:36,2019-01-09 14:14:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483528,Snow,Light,2019-01-09 14:34:36,2019-01-09 15:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483529,Snow,Heavy,2019-01-09 15:20:36,2019-01-09 15:27:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483530,Snow,Light,2019-01-09 15:27:36,2019-01-09 15:51:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483531,Snow,Moderate,2019-01-09 15:51:36,2019-01-09 16:24:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483532,Snow,Light,2019-01-09 16:24:36,2019-01-09 22:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483533,Snow,Light,2019-01-09 23:20:36,2019-01-10 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483534,Snow,Light,2019-01-10 10:20:36,2019-01-10 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483535,Snow,Light,2019-01-11 11:20:36,2019-01-11 14:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483536,Snow,Light,2019-01-11 15:20:36,2019-01-11 19:14:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483537,Snow,Moderate,2019-01-11 19:14:36,2019-01-11 19:50:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483538,Snow,Light,2019-01-11 19:50:36,2019-01-12 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483539,Snow,Light,2019-01-12 02:20:36,2019-01-12 07:04:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483540,Snow,Light,2019-01-13 10:20:36,2019-01-13 15:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483541,Rain,Light,2019-01-15 09:20:36,2019-01-15 10:53:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483542,Rain,Light,2019-01-15 11:42:36,2019-01-15 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
