Type,Severity,start_time,end_time
Snow,Light,2022-01-01 03:20:36,2022-01-01 06:20:36
Snow,Light,2022-01-01 09:20:36,2022-01-02 02:54:36
Snow,Light,2022-01-02 05:20:36,2022-01-02 20:20:36
Rain,Light,2022-01-07 07:20:36,2022-01-07 11:20:36
Rain,Moderate,2022-01-07 11:20:36,2022-01-07 12:20:36
Rain,Light,2022-01-07 12:20:36,2022-01-07 13:20:36
Rain,Light,2022-01-07 13:57:36,2022-01-07 15:20:36
Rain,Light,2022-01-08 10:20:36,2022-01-08 11:20:36
Snow,Light,2022-01-08 22:20:36,2022-01-09 01:20:36
Snow,Light,2022-01-09 05:17:36,2022-01-09 12:20:36
Snow,Light,2022-01-10 12:20:36,2022-01-10 13:20:36
Snow,Light,2022-01-12 07:34:36,2022-01-12 13:16:36
Fog,Severe,2022-01-12 13:16:36,2022-01-12 15:20:36
Snow,Light,2022-01-12 15:20:36,2022-01-13 05:20:36
Snow,Light,2022-01-14 09:20:36,2022-01-14 10:20:36
Fog,Moderate,2022-01-14 19:20:36,2022-01-14 20:20:36
Snow,Light,2022-01-14 22:36:36,2022-01-14 23:20:36
Rain,Light,2022-01-14 23:20:36,2022-01-15 00:41:36
Rain,Light,2022-01-15 01:20:36,2022-01-15 03:03:36
Rain,Light,2022-01-15 17:20:36,2022-01-16 02:20:36
Snow,Light,2022-01-17 19:20:36,2022-01-17 19:33:36
Snow,Light,2022-01-18 19:20:36,2022-01-19 12:20:36
Snow,Light,2022-01-19 16:20:36,2022-01-20 04:20:36
Snow,Light,2022-01-20 19:20:36,2022-01-20 20:09:36
Snow,Light,2022-01-20 23:20:36,2022-01-21 04:20:36
Snow,Light,2022-01-21 07:20:36,2022-01-21 10:20:36
Rain,Light,2022-01-22 08:39:36,2022-01-22 10:39:36
Rain,Light,2022-01-22 12:20:36,2022-01-22 15:50:36
Snow,Light,2022-01-22 15:50:36,2022-01-22 20:17:36
Rain,Light,2022-01-22 20:17:36,2022-01-23 08:29:36
Snow,Light,2022-01-23 08:29:36,2022-01-23 14:20:36
Fog,Moderate,2022-01-24 09:20:36,2022-01-24 10:01:36
Fog,Moderate,2022-01-24 10:20:36,2022-01-24 10:57:36
Snow,Light,2022-01-24 11:20:36,2022-01-24 12:20:36
Snow,Light,2022-01-24 13:34:36,2022-01-24 19:15:36
Snow,Light,2022-01-25 14:06:36,2022-01-25 21:20:36
Snow,Light,2022-01-26 15:20:36,2022-01-27 00:20:36
Snow,Light,2022-01-27 22:20:36,2022-01-28 03:20:36
Snow,Moderate,2022-01-28 03:20:36,2022-01-28 04:47:36
Fog,Severe,2022-01-28 04:47:36,2022-01-28 05:37:36
Snow,Light,2022-01-28 05:37:36,2022-01-28 06:20:36
Snow,Moderate,2022-01-28 06:20:36,2022-01-28 06:39:36
Snow,Light,2022-01-28 06:39:36,2022-01-28 06:56:36
Fog,Severe,2022-01-28 06:56:36,2022-01-28 07:44:36
Snow,Light,2022-01-28 07:44:36,2022-01-28 08:20:36
Snow,Moderate,2022-01-28 08:20:36,2022-01-28 09:20:36
Rain,Light,2022-01-28 09:20:36,2022-01-28 10:20:36
Rain,Light,2022-01-28 14:54:36,2022-01-28 16:18:36
Snow,Light,2022-01-28 16:18:36,2022-01-28 21:20:36
Snow,Light,2022-01-29 02:52:36,2022-01-29 06:20:36
Snow,Light,2022-01-29 10:00:36,2022-01-29 12:00:36
Snow,Light,2022-01-29 12:56:36,2022-01-29 17:20:36
Cold,Severe,2022-01-30 00:49:36,2022-01-31 10:20:36
Snow,Light,2022-01-31 16:20:36,2022-02-01 07:20:36
Rain,Light,2022-02-02 21:20:36,2022-02-03 01:20:36
Rain,Light,2022-02-04 08:20:36,2022-02-04 09:20:36
Rain,Light,2022-02-04 12:20:36,2022-02-04 14:20:36
Rain,Light,2022-02-05 16:58:36,2022-02-05 17:39:36
Rain,Light,2022-02-05 18:40:36,2022-02-05 18:50:36
Rain,Light,2022-02-05 19:02:36,2022-02-05 20:50:36
Rain,Moderate,2022-02-05 20:50:36,2022-02-05 21:39:36
Rain,Light,2022-02-05 22:02:36,2022-02-05 23:20:36
Fog,Severe,2022-02-06 02:47:36,2022-02-06 05:50:36
Rain,Light,2022-02-06 18:50:36,2022-02-06 19:53:36
Rain,Light,2022-02-06 21:30:36,2022-02-06 23:20:36
Rain,Light,2022-02-07 00:20:36,2022-02-07 01:20:36
Rain,Light,2022-02-07 03:20:36,2022-02-07 04:20:36
Rain,Moderate,2022-02-07 04:20:36,2022-02-07 04:44:36
Rain,Light,2022-02-07 04:44:36,2022-02-07 07:50:36
Fog,Severe,2022-02-07 09:20:36,2022-02-07 12:01:36
Rain,Light,2022-02-07 12:01:36,2022-02-07 13:42:36
Rain,Light,2022-02-07 14:20:36,2022-02-07 16:20:36
Snow,Light,2022-02-07 19:20:36,2022-02-08 06:20:36
Snow,Light,2022-02-09 08:20:36,2022-02-09 09:20:36
Snow,Light,2022-02-10 12:47:36,2022-02-10 23:20:36
Rain,Light,2022-02-11 16:30:36,2022-02-12 04:34:36
Snow,Light,2022-02-12 04:34:36,2022-02-12 05:02:36
Rain,Light,2022-02-12 05:02:36,2022-02-12 06:09:36
Rain,Light,2022-02-12 08:05:36,2022-02-12 10:11:36
Snow,Light,2022-02-12 12:02:36,2022-02-13 04:20:36
Snow,Light,2022-02-13 05:20:36,2022-02-13 06:20:36
Snow,Light,2022-02-13 09:20:36,2022-02-13 10:20:36
Snow,Light,2022-02-15 03:20:36,2022-02-15 04:20:36
